,appid,all-descriptions
Blackguards Untold Legends,-1,
Blacklight Retribution,-1,
Blacklight Tango Down,-1,
Blackwell Convergence,80350,
Blackwell Deception,80360,
Blackwell Epiphany,236930,
Blackwell Unbound,80340,
Blade Kitten,9949,
Blade Symphony,225600,
Blades of Time,208670,
Blake Stone Aliens of Gold,-1,
Blake Stone Planet Strike,-1,
Blast Em!,257630,
Blast Em! Source Code,272690,
BlastZone 2,349260,
Blaster Shooter GunGuy!,391740,
BlazBlue Calamity Trigger,-1,
BlazBlue Continuum Shift Extend,-1,
BlazeRush,302710,
Blazing Angels 2 Secret Missions of WWII,-1,
Blazing Angels Squadrons of WWII,-1,
Bleed,239800,
Blender 2.76b,-1,
Blitzkrieg 2 Anthology,313500,
Blitzkrieg Anthology,313480,
Blob From Space,315070,
Blob From Space - Please Don't Stop The Music,348370,
Block N Load,299360,
Block Story,270110,
Blockland,250340,
Blocks That Matter,111800,
Blockscape,223490,
Blockstorm,263060,
Blood & Gold Caribbean!,-1,
Blood Bowl 2,236690,
Blood Bowl 2 - Lizardmen,382210,
Blood Bowl 2 - Wood Elves,382910,
Blood Bowl Chaos Edition,-1,
Blood Bowl Dark Elves Edition,-1,
Blood Bowl Legendary Edition,80401,
Blood Knights,258220,
Blood Omen 2 Legacy of Kain,-1,
Blood One Unit Whole Blood,-1,
Blood of Old,-1,
Blood of the Werewolf,260250,
BloodLust Shadowhunter,280600,
BloodRayne,3810,
BloodRayne 2,3820,
BloodRayne Betrayal,-1,
BloodRealm Battlegrounds,-1,
Bloodbath Kavkaz,-1,
Bloodline Champions,6370,
Bloodsports.TV,336420,
Bloodsports.TV - Blood Brawl,367290,
Bloodwood Reload,350990,
Bloody Good Time,2450,
Bloody Trapland,257750,
Bloons TD5,306020,
Bloop,340200,
Blue Estate Digital Comic,358640,
Blue Rose,362660,
Blue Toad Murder Files - The Mysteries of Little Riddle,90400,
Blur,42640,
Bob Came in Pieces,46000,
Bob Was Hungry,343560,
Boid,314010,
Bone Out from Boneville,-1,
Bone The Great Cow Race,-1,
Boo Bunny Plague,313590,
BookWorm Adventures Volume 2,3630,
BookWorm Deluxe,3370,
Bookworm Adventures Deluxe,3470,
Booster Trooper,27920,
Borderlands,8950,
Borderlands 2,49520,
Borderlands 2 Headhunter 1 Bloody Harvest,-1,
Borderlands 2 Headhunter 2 Wattle Gobbler,-1,
Borderlands 2 Headhunter 3 Mercenary Day,-1,
Borderlands 2 Headhunter 4 Wedding Day Massacre,-1,
Borderlands 2 Headhunter 5 Son of Crawmerax,-1,
Borderlands 2 RU,217490,
Borderlands DLC Claptraps New Robot Revolution,-1,
Borderlands DLC Mad Moxxi's Underdome Riot,-1,
Borderlands DLC The Secret Armory of General Knoxx,-1,
Borderlands DLC The Zombie Island of Dr. Ned,-1,
Borderlands The Pre-Sequel,-1,
Borderless Gaming,388080,
Borealis,565510,
Boring Man - Online Tactical Stickman Combat,346120,
Boson X,302610,
Botanicula,207690,
Bound By Flame,243930,
Braid,26800,
Brawl Busters,109410,
Brawlhalla,291550,
Breach,421650,
Breach & Clear,266130,
Breach & Clear Deadline,-1,
Break Into Zatwor,-1,
Break the Cube,346650,
Breath of Death VII ,107300,
Breezeblox,370080,
Brick-Force,335330,
Brick-Force (US),272490,
Bridge Constructor,250460,
Bridge Constructor Medieval,319850,
Bridge Constructor Playground,279990,
Bridge It (plus),248370,
Bridge Project,232950,
Brilliant Bob,-1,
Brink of Consciousness Dorian Gray Syndrome,-1,
Brink of Consciousness The Lonely Hearts Murders,-1,
Broforce,274190,
Broken Age,232790,
Broken Sword 1 - Shadow of the Templars Director's Cut,-1,
Broken Sword 2 - the Smoking Mirror Remastered,-1,
Broken Sword 3 - the Sleeping Dragon,33610,
Broken Sword 4 - the Angel of Death,316160,
Broken Sword 5 - the Serpent's Curse,262940,
Brothers - A Tale of Two Sons,225080,
Brothers in Arms Earned in Blood,-1,
Brothers in Arms Hell's Highway,-1,
Brothers in Arms Road to Hill 30,-1,
Brtal Legend,-1,
Buccaneer The Pursuit of Infamy,-1,
Build-A-Lot,38080,
Build-A-Lot 2,38090,
Build-A-Lot 3,38100,
Build-A-Lot 4,38110,
Bullet Candy,6600,
Bullet Heaven 2,412670,
Bullet Heaven 2 - Soundtrack,419210,
Bullet Run,211880,
Bulletstorm,99810,
Bully Scholarship Edition,-1,
Bumbledore,207710,
Bunch Of Heroes,111400,
Burgers,385830,
Burn Zombie Burn,50510,
Burnout Paradise The Ultimate Box,-1,
Burstfire,349580,
Bus Driver,302080,
Bus-Simulator 2012,253770,
Butsbal,375330,
Buzz Aldrin's Space Program Manager,308270,
C-RUSH,262980,
C9,212390,
CAFE 0 ~The Drowned Mermaid~,335660,
CAFE 0 ~The Drowned Mermaid~ - Japanese Voice Add-On,336460,
CID The Dummy,45900,
COH2 - The Western Front Armies Oberkommando West,-1,
COH2 - The Western Front Armies US Forces,-1,
CONSORTIUM,264240,
CRYENGINE,220980,
CRYPTARK,344740,
CSGO Player Profiles,-1,
CSGO Player Profiles - Device,-1,
CSGO Player Profiles - Edward,-1,
CSGO Player Profiles - Fallen,-1,
CSGO Player Profiles - Get_Right,-1,
CSGO Player Profiles - KennyS,-1,
CSGO Player Profiles - Markeloff,-1,
CSGO Player Profiles - N0thing,-1,
CSGO Player Profiles - Olofmeister,-1,
CSGO Player Profiles - Taz,-1,
CT Special Forces Fire for Effect,-1,
Cabela's African Adventures,250200,
Cabela's Big Game Hunter Pro Hunts,247770,
Cabela's Dangerous Hunts 2013,-1,
Cabela's Hunting Expeditions,-1,
Cabelas Trophy Bucks,7970,
CaesarIA,327640,
Cakewalk Loop Manager,305280,
Cakewalk Sound Center,352280,
Calibre 10 Racing Series,266370,
Call of Cthulhu Dark Corners of the Earth,-1,
Call of Duty,2620,
Call of Duty 2,2630,
Call of Duty 4 Modern Warfare,-1,
Call of Duty Advanced Warfare,-1,
Call of Duty Advanced Warfare - Multiplayer,-1,
Call of Duty Black Ops,-1,
Call of Duty Black Ops - Multiplayer,-1,
Call of Duty Black Ops - Multiplayer OSX,-1,
Call of Duty Black Ops - OSX,-1,
Call of Duty Black Ops II,-1,
Call of Duty Black Ops II - Multiplayer,-1,
Call of Duty Black Ops II - Zombies,-1,
Call of Duty Black Ops III,-1,
Call of Duty Ghosts,-1,
Call of Duty Ghosts - Multiplayer,-1,
Call of Duty Modern Warfare 2,-1,
Call of Duty Modern Warfare 2 - Multiplayer,-1,
Call of Duty Modern Warfare 2 - Resurgence Pack,-1,
Call of Duty Modern Warfare 2 Stimulus Package,-1,
Call of Duty Modern Warfare 3,-1,
Call of Duty Modern Warfare 3 - Multiplayer,-1,
Call of Duty United Offensive,-1,
Call of Duty World at War,-1,
Call of Juarez,3020,
Call of Juarez Bound in Blood,-1,
Call of Juarez Gunslinger,204450,
Call of Juarez The Cartel,-1,
Call of Tomsk-7,390660,
Call to Arms,302670,
Call to Arms - Deluxe Edition,374390,
Camera Obscura,341500,
Camera Obscura Soundtrack,343300,
CameraBag 2,100410,
Cannon Brawl,230860,
Cannon Fodder 3,209750,
Cannons Lasers Rockets,265770,
Canyon Capers,275490,
Capsized,95300,
Captain Forever Remix,298560,
Captain Morgane and the Golden Turtle,264320,
Car Mechanic Simulator 2014,270850,
Car Mechanic Simulator 2015,320300,
Car Mechanic Simulator 2015 - PickUp & SUV DLC,361841,
Car Mechanic Simulator 2015 - TraderPack,361842,
Car Mechanic Simulator 2015 - Visual Tuning,372870,
Car Mechanic Simulator 2015 - Youngtimer,361820,
Card City Nights,271820,
Card Hunter,293260,
Cards and Castles,360730,
Cargo Commander,220460,
Cargo! - The quest for gravity,41740,
Caribbean!,293010,
Carmageddon 2 Carpocalypse Now,-1,
Carmageddon Max Pack,282010,
Carmageddon Reincarnation,-1,
Carmageddon TDR 2000,331650,
Carnage Racing,228940,
Carpe Diem,423880,
Carpe Diem - Extra Package,425120,
Carrier Command Gaea Mission,-1,
Cart Life,233390,
Cast of the Seven Godsends,-1,
Cast of the Seven Godsends - Soundtrack,377540,
Castaway Paradise,304950,
Caster,29800,
Castle,339290,
Castle Crashers,204360,
Castle Crashers - Blacksmith Pack,204372,
Castle Crashers - Pink Knight Pack,204371,
Castle In The Darkness,262960,
Castle Never Judge a Book by its Cover,-1,
Castle Story,227860,
Castle of Illusion,227600,
CastleMiner Z,253430,
CastleStorm,241410,
CastleStorm - From Outcast to Savior,242300,
CastleStorm - The Warrior Queen,242310,
Castlevania Lords of Shadow  Mirror of Fate HD,-1,
Castlevania Lords of Shadow - Ultimate Edition,-1,
Castlevania Lords of Shadow 2,-1,
Castlevania Lords of Shadow 2 - Armored Dracula Costume,-1,
Castlevania Lords of Shadow 2 - Dark Dracula Costume,-1,
